Geography,Population Estimate (as of July 1) - 2018
"Jonesboro city, Arkansas",76990
"Kalamazoo city, Michigan",76545
"Iowa City city, Iowa",76290
"Temple city, Texas",76256
"St. Joseph city, Missouri",75959
"San Ramon city, California",75839
"Wyoming city, Michigan",75820
"Baldwin Park city, California",75813
"Warner Robins city, Georgia",75797
"Hammond city, Indiana",75795
"Bethlehem city, Pennsylvania",75790
"Rapid City city, South Dakota",75443
"Gary city, Indiana",75282
"Albany city, Georgia",75249
"Arlington Heights village, Illinois",75249
"Bolingbrook village, Illinois",75178
"Pasco city, Washington",74778
"Missouri City city, Texas",74705
"Rochester Hills city, Michigan",74696
"Rancho Cordova city, California",74585
"Union City city, California",74559
"Appleton city, Wisconsin",74526
"Missoula city, Montana",74428
"Buckeye city, Arizona",74370
"Rock Hill city, South Carolina",74309
"Georgetown city, Texas",74180
"South Jordan city, Utah",74149
"Evanston city, Illinois",74106
"Camden city, New Jersey",73973
"Flagstaff city, Arizona",73964
"Kissimmee city, Florida",73597
"Schaumburg village, Illinois",73509
"Apple Valley town, California",73508
"Turlock city, California",73504
"Southfield city, Michigan",73158
"Framingham city, Massachusetts",73123
"Bismarck city, North Dakota",73112
"Jacksonville city, North Carolina",72896
"Waukesha city, Wisconsin",72549
"New Britain city, Connecticut",72453
"Pittsburg city, California",72437
"Lafayette city, Indiana",72168
"Frederick city, Maryland",72146
"Lauderhill city, Florida",72094
"Gulfport city, Mississippi",71870
"Pawtucket city, Rhode Island",71847
"Maple Grove city, Minnesota",71807
"Redlands city, California",71586
"Woodbury city, Minnesota",71306
"Decatur city, Illinois",71290
"Weston city, Florida",71210
"Mansfield city, Texas",70981
"North Richland Hills city, Texas",70836
"St. Charles city, Missouri",70764
"Wilmington city, Delaware",70635
"Lynwood city, California",70504
"Homestead city, Florida",70477
"Canton city, Ohio",70458
"Passaic city, New Jersey",69948
"Walnut Creek city, California",69825
"Marysville city, Washington",69779
"Delray Beach city, Florida",69358
"Davis city, California",69289
"Broomfield city, Colorado",69267
"Camarillo city, California",69127
"Eau Claire city, Wisconsin",68866
"Daytona Beach city, Florida",68866
"North Port city, Florida",68628
"Greenville city, South Carolina",68563
"Muncie city, Indiana",68529
"Union City city, New Jersey",68520
"Bowling Green city, Kentucky",68401
"Gaithersburg city, Maryland",68289
"Rockville city, Maryland",68268
"Dothan city, Alabama",68247
"Bossier City city, Louisiana",68235
"Lake Elsinore city, California",68183
"Palatine village, Illinois",68053
"St. Cloud city, Minnesota",68043
"Waterloo city, Iowa",67798
"Yorba Linda city, California",67787
"South San Francisco city, California",67733
"Redmond city, Washington",67678
"Rogers city, Arkansas",67600
"Mount Vernon city, New York",67593
"Redondo Beach city, California",67412
"Rocklin city, California",67221
"Ames city, Iowa",67154
"Victoria city, Texas",67015
"Lodi city, California",66995
"Yuba City city, California",66992
"Jackson city, Tennessee",66903
"Johnson City city, Tennessee",66778
"Oshkosh city, Wisconsin",66729
"Palo Alto city, California",66666
"Kenner city, Louisiana",66657
"West Des Moines city, Iowa",66641
"Eagan city, Minnesota",66527
"Conway city, Arkansas",66426
"Portland city, Maine",66417
"Rowlett city, Texas",66285
"Laguna Niguel city, California",66266
"Alpharetta city, Georgia",66255
"North Little Rock city, Arkansas",66127
"Tamarac city, Florida",66054
"Lehi city, Utah",66037
"Lakeville city, Minnesota",65877
"Shawnee city, Kansas",65845
"Auburn city, Alabama",65738
"Sammamish city, Washington",65733
"Madera city, California",65706
"Schenectady city, New York",65575
"Jupiter town, Florida",65524
"Harlingen city, Texas",65436
"Ankeny city, Iowa",65284
"Blaine city, Minnesota",65212
"Wellington village, Florida",65200
"Bayonne city, New Jersey",65083
"Youngstown city, Ohio",64958
"San Clemente city, California",64857
"Castle Rock town, Colorado",64827
"Eastvale city, California",64822
"Santa Cruz city, California",64725
"Janesville city, Wisconsin",64565
"Tulare city, California",64475
"East Orange city, New Jersey",64457
"Pflugerville city, Texas",64431
"Eden Prairie city, Minnesota",64334
"Port Orange city, Florida",64252
"Haverhill city, Massachusetts",64041
"Lorain city, Ohio",64028
"Cheyenne city, Wyoming",63957
"Brentwood city, California",63800
"San Marcos city, Texas",63509
"Dublin city, California",63445
"Grand Junction city, Colorado",63374
"Skokie village, Illinois",63280
"Noblesville city, Indiana",63133
"North Miami city, Florida",62996
"Springfield city, Oregon",62979
"Waltham city, Massachusetts",62962
"Encinitas city, California",62904
"Pico Rivera city, California",62888
"Montebello city, California",62632
"Coon Rapids city, Minnesota",62527
"Council Bluffs city, Iowa",62421
"La Habra city, California",62183
"Hamilton city, Ohio",62174
"Moore city, Oklahoma",62103
"Petaluma city, California",61917
"Doral city, Florida",61824
"Idaho Falls city, Idaho",61535
"National City city, California",61431
"Coconut Creek city, Florida",61361
"Millcreek city, Utah",61270
"Burnsville city, Minnesota",61203
"Taylor city, Michigan",61148
"Malden city, Massachusetts",61036
"Chapel Hill town, North Carolina",60988
"Novi city, Michigan",60951
"Marietta city, Georgia",60806
"Terre Haute city, Indiana",60753
"Lakewood city, Washington",60538
"Woodland city, California",60531
"Ocala city, Florida",60429
"Monterey Park city, California",60401
"Taylorsville city, Utah",60192
"Cupertino city, California",60170
"Utica city, New York",60100
"Sanford city, Florida",60035
"Bristol city, Connecticut",60032
"Porterville city, California",59988
"Vineland city, New Jersey",59966
"Owensboro city, Kentucky",59809
"Pontiac city, Michigan",59772
"Gardena city, California",59721
"La Mesa city, California",59556
"Meriden city, Connecticut",59540
"West Allis city, Wisconsin",59492
"Royal Oak city, Michigan",59461
"Lancaster city, Pennsylvania",59420
"St. Clair Shores city, Michigan",59409
"Bartlett city, Tennessee",59315
"Springfield city, Ohio",59282
"Des Plaines city, Illinois",58959
"Greenwood city, Indiana",58778
"Gilroy city, California",58756
"San Rafael city, California",58704
"Great Falls city, Montana",58701
"Bowie city, Maryland",58682
"Margate city, Florida",58656
"Corvallis city, Oregon",58641
"Arcadia city, California",58610
"Commerce City city, Colorado",58449
"Orland Park village, Illinois",58312
"Huntington Park city, California",58173
"Santee city, California",58115
"White Plains city, New York",58111
"Dubuque city, Iowa",57941
"Kokomo city, Indiana",57869
"Medford city, Massachusetts",57765
"Sarasota city, Florida",57738
"Weymouth Town city, Massachusetts",57719
"Bradenton city, Florida",57644
"Hendersonville city, Tennessee",57576
"Casper city, Wyoming",57461
"Bonita Springs city, Florida",57370
"Euless city, Texas",57346
"Midwest City city, Oklahoma",57325
"Richland city, Washington",57303
"Taunton city, Massachusetts",57296
"Casa Grande city, Arizona",57232
"St. Peters city, Missouri",57127
"Huntersville town, North Carolina",57098
"Grand Forks city, North Dakota",56948
"Hanford city, California",56910
"Shoreline city, Washington",56752
"Smyrna city, Georgia",56706
"Caldwell city, Idaho",56541
"Valdosta city, Georgia",56426
"Palm Beach Gardens city, Florida",56284
"Diamond Bar city, California",56275
"Pocatello city, Idaho",56266
"Tinley Park village, Illinois",56204
"Leander city, Texas",56111
"New Brunswick city, New Jersey",56100
"Fountain Valley city, California",55814
"Novato city, California",55655
"Parker town, Colorado",55636
"Dearborn Heights city, Michigan",55616
"Chicopee city, Massachusetts",55582
"Oak Lawn village, Illinois",55511
"Carson City, Nevada",55414
"Highland city, California",55406
"Lenexa city, Kansas",55294
"Hempstead village, New York",55255
"Blue Springs city, Missouri",55104
"Kettering city, Ohio",55103
"Lake Havasu City city, Arizona",55090
"Anderson city, Indiana",55037
"Port Arthur city, Texas",55018
"Manhattan city, Kansas",54959
"Southaven city, Mississippi",54944
"Berwyn city, Illinois",54917
"Cathedral City city, California",54902
"West Haven city, Connecticut",54879
"Tigard city, Oregon",54758
"Normal town, Illinois",54742
"Colton city, California",54741
"Stonecrest city, Georgia",54522
"Albany city, Oregon",54453
"Rosemead city, California",54412
"Paramount city, California",54387
"Decatur city, Alabama",54264
"Rocky Mount city, North Carolina",54242
"Mount Prospect village, Illinois",54198
"Brookhaven city, Georgia",54145
"Apple Valley city, Minnesota",54121
"St. Cloud city, Florida",54115
"Kingsport city, Tennessee",54076
"Harrisonburg city, Virginia",54033
"Grapevine city, Texas",53976
"Minnetonka city, Minnesota",53953
"Watsonville city, California",53920
"Leesburg town, Virginia",53917
"Elyria city, Ohio",53881
"Apex town, North Carolina",53852
"Revere city, Massachusetts",53821
"Burlington city, North Carolina",53748
"West Sacramento city, California",53727
"Yucaipa city, California",53682
"Bellevue city, Nebraska",53627
"DeSoto city, Texas",53523
"Apopka city, Florida",53489
"Hoboken city, New Jersey",53455
"Peabody city, Massachusetts",53278
"Palm Desert city, California",53185
"Wheaton city, Illinois",53150
"Milford city (balance), Connecticut",53120
"Pinellas Park city, Florida",53098
"Delano city, California",53014
"West New York town, New Jersey",52990
"Pensacola city, Florida",52713
"Olympia city, Washington",52555
"Edina city, Minnesota",52490
"Elkhart city, Indiana",52367
"Oak Park village, Illinois",52265
"Glendora city, California",52002
"Perth Amboy city, New Jersey",51928
"Burien city, Washington",51908
"Kentwood city, Michigan",51868
"Aliso Viejo city, California",51783
"Summerville town, South Carolina",51692
"Placentia city, California",51671
"Logan city, Utah",51619
"Wylie city, Texas",51585
"La Crosse city, Wisconsin",51567
"Grand Island city, Nebraska",51478
"Coeur d'Alene city, Idaho",51303
"Florissant city, Missouri",51272
"Battle Creek city, Michigan",51247
"Hoffman Estates village, Illinois",51197
"Bentonville city, Arkansas",51111
"Coral Gables city, Florida",50999
"Smyrna town, Tennessee",50775
"Lacey city, Washington",50718
"Methuen Town city, Massachusetts",50698
"Plainfield city, New Jersey",50693
"Joplin city, Missouri",50657
"Collierville town, Tennessee",50616
"Cerritos city, California",50462
"Galveston city, Texas",50457
"Madison city, Alabama",50440
"Stillwater city, Oklahoma",50391
"Little Elm city, Texas",50314
"Lakewood city, Ohio",50100
"Newark city, Ohio",50029
"Maricopa city, Arizona",50024
"Azusa city, California",49958
"Mishawaka city, Indiana",49931
"Twin Falls city, Idaho",49764
"Kannapolis city, North Carolina",49761
"Poway city, California",49704
"Enid city, Oklahoma",49585
"Bedford city, Texas",49464
"Dunwoody city, Georgia",49459
"Downers Grove village, Illinois",49387
"Troy city, New York",49374
"Wilson city, North Carolina",49329
"Murray city, Utah",49308
"Cuyahoga Falls city, Ohio",49272
"Beaumont city, California",49241
"Harrisburg city, Pennsylvania",49229
"Portage city, Michigan",49216
"Texas City city, Texas",49153
"Lawrence city, Indiana",49046
"St. Louis Park city, Minnesota",49039
"Cypress city, California",48958
"San Jacinto city, California",48867
"Middletown city, Ohio",48861
"Ceres city, California",48769
"La Mirada city, California",48683
"Dublin city, Ohio",48647
"Bozeman city, Montana",48532
"Cedar Hill city, Texas",48463
"Wauwatosa city, Wisconsin",48376
"Palm Springs city, California",48375
"Rancho Santa Margarita city, California",48325
"Saginaw city, Michigan",48323
"Draper city, Utah",48319
"West Lafayette city, Indiana",48308
"Newark city, California",48198
"Sheboygan city, Wisconsin",48180
"Niagara Falls city, New York",48144
"Charlottesville city, Virginia",48117
"Littleton city, Colorado",48007
"East Lansing city, Michigan",47988
"Lincoln city, California",47978
"Covina city, California",47963
"Monroe city, Louisiana",47877
"Ocoee city, Florida",47720
"Chesterfield city, Missouri",47644
"Roswell city, New Mexico",47635
"Columbus city, Indiana",47543
"East Providence city, Rhode Island",47476
"San Luis Obispo city, California",47446
"Jeffersonville city, Indiana",47432
"Beavercreek city, Ohio",47391
"Roseville city, Michigan",47377
"Minot city, North Dakota",47370
"Keller city, Texas",47350
"Burleson city, Texas",47282
"Mentor city, Ohio",47273
"Glenview village, Illinois",47258
"Charleston city, West Virginia",47215
"Marana town, Arizona",47007
"Euclid city, Ohio",46946
"Everett city, Massachusetts",46880
"Kyle city, Texas",46874
"Alexandria city, Louisiana",46776
"Salina city, Kansas",46716
"Bothell city, Washington",46657
"Mansfield city, Ohio",46560
"Elmhurst city, Illinois",46558
"Titusville city, Florida",46497
"Middletown city, Connecticut",46146
"Fort Pierce city, Florida",46071
"Huntington city, West Virginia",46048
"Biloxi city, Mississippi",45968
"Hattiesburg city, Mississippi",45951
"North Miami Beach city, Florida",45887
"Coachella city, California",45839
"Prescott Valley town, Arizona",45751
"Oro Valley town, Arizona",45395
"Oakland Park city, Florida",45339
"Winter Garden city, Florida",45266
"Morgan Hill city, California",45135
"Attleboro city, Massachusetts",45117
"Rockwall city, Texas",45112
"Cleveland city, Tennessee",44974
"Herriman city, Utah",44877
"Cutler Bay town, Florida",44867
"Strongsville city, Ohio",44853
"Farmington city, New Mexico",44788
"Binghamton city, New York",44785
"Blacksburg town, Virginia",44678
"Danville town, California",44650
"Sayreville borough, New Jersey",44556
"Lombard village, Illinois",44523
"Hackensack city, New Jersey",44522
"Barnstable Town city, Massachusetts",44460
"Sierra Vista city, Arizona",44420
"Riverton city, Utah",44419
"North Lauderdale city, Florida",44391
"Cleveland Heights city, Ohio",44373
"Haltom City city, Texas",44339
"Altamonte Springs city, Florida",44241
"Plainfield village, Illinois",44138
"El Centro city, California",44120
"York city, Pennsylvania",44118
"Bountiful city, Utah",44098
"Wake Forest town, North Carolina",44046
"Urbandale city, Iowa",43949
"Rohnert Park city, California",43753
"Altoona city, Pennsylvania",43702
"Brea city, California",43601
"Salem city, Massachusetts",43559
"Peachtree Corners city, Georgia",43509
"Ormond Beach city, Florida",43475
"Concord city, New Hampshire",43412
"The Colony city, Texas",43402
"Moorhead city, Minnesota",43349
"Prescott city, Arizona",43314
"San Bruno city, California",43047
"Freeport village, New York",43044
"Winter Haven city, Florida",43020
"Fond du Lac city, Wisconsin",42959
"Burlington city, Vermont",42899
"Goose Creek city, South Carolina",42841
"Jefferson City city, Missouri",42838
"Edmonds city, Washington",42767
"Lompoc city, California",42760
"Fairfield city, Ohio",42613
"DeKalb city, Illinois",42611
"Mankato city, Minnesota",42610
"Linden city, New Jersey",42538
"Pittsfield city, Massachusetts",42533
"Queen Creek town, Arizona",42503
"Brentwood city, Tennessee",42502
"Campbell city, California",42466
"Sherman city, Texas",42462
"State College borough, Pennsylvania",42352
